ssid,doi,title,authors,year,venue
"353965e9bb6ac95890c3bd218527a216a6d65e16","10.3389/fnhum.2013.00443","A Pattern Theory of Self","S. Gallagher","2013","Front. Hum. Neurosci.",
"e107b284957116289172af7a43d36adc60d5deb7","10.1080/09515089.2014.976334","Scaffoldings of the affective mind","G. Colombetti, Joel Krueger","2015","",
"952732b7bba939abc959f612e93a59e245d5ca6e","10.1080/09515089.2013.828376","Emotions beyond brain and body","A. Stephan, S. Walter, Wendy Wilutzky","2014","",
"c1716e6ba63fb898b8037ff6651c0bf27dc557db","10.1007/S11098-014-0347-3","Extending the extended mind: the case for extended affectivity","G. Colombetti, T. Roberts","2015","",
"38960a21501eb0adebd44f19793b59d1fc2b692d","10.1023/A:1021312100964","Heidegger's attunement and the neuropsychology of emotion","M. Ratcliffe","2002","",
"47cbbfbcaf49a9de8841cf071f703c4f72ab11d8","10.3389/fpsyg.2013.01003","Affordances and the musically extended mind","Joel Krueger","2014","Front. Psychol.",
"987bffa435f7c34ecb0356b1434bd1d3db97151f","10.1093/MIND/FZN050","Situated normativity: The normative aspect of embodied cognition in unreflective action","Erik Rietveld","2008","",
"cb4db02a41e51a7dff0337429bf25561a6001e6f","10.13128/PHE_MI-20119","Intercorporeality and Interaffectivity","T. Fuchs","2016","",
"551bab273f39ac2e6d66e7f4b716e5614bd2d887","None","Depression, Intercorporeality, and Interaffectivity","T. Fuchs","2013","",
"5ef464cf01b1440b85c51a949024e4990c8f662e","10.1007/S11097-014-9363-1","Varieties of extended emotions","Joel Krueger","2014","",
